,reaction_id,EC_number
700,NADN,3.5.1.-
701,NADPPPS,3.1.3.-
702,NADS1,6.3.1.5
703,NADTRHD,1.6.1.3
704,NAMNPP,6.3.4.21
705,NDPK1,2.7.4.6
706,NDPK2,2.7.4.6
707,NDPK3,2.7.4.6
708,NDPK4,2.7.4.6
709,NDPK5,2.7.4.6
710,NDPK6,2.7.4.6
711,NDPK7,2.7.4.6
712,NDPK8,2.7.4.6
713,NHFRBO,1.7.1.14
714,NI2abcpp,3.6.3.24
715,NI2uabcpp,3.6.3.24
716,NMNAT,2.7.7.18
717,NMNDA,3.5.1.42
718,NMNN,3.2.2.14
719,NMNt7pp,3.2.2.14
720,NNAM,3.5.1.19
721,NNATr,2.7.7.18
722,NNDMBRT,2.4.2.21
723,NNDPR,2.4.2.19
724,NO3R2bpp,1.7.99.4
725,NODOx,1.14.12.17
726,NODOy,1.14.12.17
727,NTD1,3.1.3.89
728,NTD10,3.1.3.5
729,NTD10pp,3.1.3.5
730,NTD11,3.1.3.5
731,NTD11pp,3.1.3.5
732,NTD1pp,3.1.3.89
733,NTD2,3.1.3.5
734,NTD2pp,3.1.3.5
735,NTD3,3.1.3.89
736,NTD3pp,3.1.3.89
737,NTD4,3.1.3.91
738,NTD4pp,3.1.3.91
739,NTD5,3.1.3.89
740,NTD5pp,3.1.3.89
741,NTD6,3.1.3.89
742,NTD6pp,3.1.3.89
743,NTD7,3.1.3.5
744,NTD7pp,3.1.3.5
745,NTD8,3.1.3.89
746,NTD8pp,3.1.3.89
747,NTD9,3.1.3.5
748,NTD9pp,3.1.3.5
749,NTP1,3.6.4.9
750,NTP10,3.6.1.5
751,NTP12,3.6.1
752,NTP3,3.6.5.6
753,NTP3pp,3.6.5.6
754,NTP5,3.6.1.5
755,NTPP1,3.6.1.19
756,NTPP10,3.6.1.66
757,NTPP11,3.6.1.66
758,NTPP2,3.6.1.8
759,NTPP3,3.6.1.65
760,NTPP4,3.6.1.8
761,NTPP5,3.6.1.19
762,NTPP6,3.6.1.8
763,NTPP7,3.6.1.19
764,NTPP8,3.6.1.8
765,NTPP9,3.6.1.8
766,NTPTP1,3.1.5.1
767,NTRIR2x,1.7.1.4
768,OAADC,4.1.1.3
769,OBTFL,2.3.1.54
770,OCBT,2.1.3.3
771,OCTDPS,2.5.1.90
772,OGMEACPD,4.2.1.59
773,OHPBAT,2.6.1.52
774,OHPHM,2.1.1.222
775,OMCDC,1.1.1.85
776,OMPDC,4.1.1.23
777,OP4ENH,4.2.1.80
778,OPHBDC,4.1.1.98
779,OPMEACPD,4.2.1.59
780,ORNDC,4.1.1.17
781,ORNabcpp,3.6.3.21
782,ORPT,2.4.2.10
783,OXAMTC,2.1.3.5
784,OXCDC,4.1.1.8
785,OXDHCOAT,2.3.1.223
786,P5CD,1.5.1.12
787,P5CR,1.5.1.2
788,PACCOAL,6.2.1.30
789,PANTS,6.3.2.1
790,PAPA160,3.1.3.4
791,PAPA160pp,3.1.3.4
792,PAPPT3,2.7.8.13
793,PAPSR,1.8.4.8
794,PAPSR2,1.8.4.8
795,PDE1,3.1.4.53
796,PDE4,3.1.4.35
797,PDH,2.3.1.12
798,PDX5POi,1.4.3.5
799,PDXPP,3.1.3.74
800,PEAMNOpp,1.4.3.6
801,PERD,1.1.1.290
802,PFK,2.7.1.11
803,PFK_2,2.7.1.56
804,PFK_3,2.7.1.11
805,PFL,2.3.1.54
806,PGAMT,5.4.2.10
807,PGCD,1.1.1.95
808,PGI,5.3.1.9
809,PGK,2.7.2.3
810,PGL,3.1.1.31
811,PGLYCP,3.1.3.18
812,PGM,5.4.2.12
813,PGMT,5.4.2.5
814,PGPP120,3.1.3.27
815,PGPP120pp,3.1.3.27
816,PGPP160,3.1.3.27
817,PGPP160pp,3.1.3.27
818,PGPP161,3.1.3.27
819,PGPP161pp,3.1.3.27
820,PGPP180,3.1.3.27
821,PGPP180pp,3.1.3.27
822,PGPP181,3.1.3.27
823,PGPP181pp,3.1.3.27
824,PGSA120,2.7.8.5
825,PGSA160,2.7.8.5
826,PGSA161,2.7.8.5
827,PGSA180,2.7.8.5
828,PGSA181,2.7.8.5
829,PHEMEabcpp,3.6.3.41
830,PHETA1,2.6.1.9
831,PHETRS,6.1.1.20
832,PIuabcpp,3.6.3.27
833,PLIPA1A120pp,3.1.1.32
834,PLIPA1A140pp,3.1.1.32
835,PLIPA1A141pp,3.1.1.32
836,PLIPA1A160pp,3.1.1.32
837,PLIPA1A180pp,3.1.1.32
838,PLIPA1E160pp,3.1.1.32
839,PLIPA1E180pp,3.1.1.32
840,PLIPA2A120pp,3.1.1.4
841,PLIPA2A140pp,3.1.1.4
842,PLIPA2A141pp,3.1.1.4
843,PLIPA2A160pp,3.1.1.4
844,PLIPA2A180pp,3.1.1.4
845,PMANM,5.4.2.8
846,PMDPHT,3.1.3.-
847,PMEACPE,3.1.1.85
848,PMPK,2.7.4.7
849,PNTK,2.7.1.33
850,PPA,3.6.1.1
851,PPA2,3.6.1.25
852,PPAKr,2.7.2.15
853,PPBNGS,4.2.1.24
854,PPC,4.1.1.31
855,PPCDC,4.1.1.36
856,PPCK,4.1.1.49
857,PPCSCT,2.8.3.1
858,PPGPPDP,3.1.7.2
859,PPM,5.4.2
860,PPM2,5.4.2.7
861,PPNCL2,6.3.2.5
862,PPNDH,4.2.1.91
863,PPPGO,1.3.3.4
864,PPPGO3,1.3.3.4
865,PPPNDO,1.14.12.19
866,PPS,2.7.9.2
867,PRAGSr,6.3.4.13
868,PRAIS,6.3.3.1
869,PRAIi,5.3.1.24
870,PRAMPC,3.5.4.19
871,PRASCSi,6.3.2.6
872,PRATPP,3.6.1.31
873,PRFGS,6.3.5.3
874,PRMICI,5.3.1.16
875,PROD2,1.5.99.8
876,PROTRS,6.1.1.15
877,PRPPS,2.7.6.1
878,PSCVT,2.5.1.19
879,PSD120,4.1.1.65
880,PSD160,4.1.1.65
881,PSD161,4.1.1.65
882,PSD180,4.1.1.65
883,PSD181,4.1.1.65
884,PSERT,2.6.1.52
885,PSP_L,3.1.3.3
886,PSP_Lpp,3.1.3.3
887,PSSA120,2.7.8.8
888,PSSA160,2.7.8.8
889,PSSA161,2.7.8.8
890,PSSA180,2.7.8.8
891,PSSA181,2.7.8.8
892,PTA2,2.3.1.8
893,PTAr,2.3.1.8
894,PTHRpp,3.1.3
895,PTPATi,2.7.7.3
896,PTRCTA,2.6.1.82
897,PTRCabcpp,3.6.3.31
898,PUNP1,2.4.2.1
899,PUNP2,2.4.2.1
900,PUNP3,2.4.2.15
901,PUNP4,2.4.2.4
902,PUNP5,2.4.2.15
903,PUNP6,2.4.2.4
904,PUNP7,2.4.2.1
905,PYAM5PO,1.4.3.5
906,PYDAMK,2.7.1.35
907,PYDXK,2.7.1.35
908,PYDXNK,2.7.1.35
909,PYDXPP,3.1.3.74
910,PYK,2.7.1.40
911,PYNP2r,2.4.2.3
912,QUINDH,1.1.1.282
913,QULNS,2.5.1.72
914,R15BPK,2.7.4.23
915,RBFK,2.7.1.26
916,RBFSa,2.5.1.78
917,RBFSb,2.5.1.9
918,RBK,2.7.1.15
919,RBK_L1,2.7.1.16
920,RBP4E,5.1.3.4
921,RHCCE,4.4.1.21
922,RMI,5.3.1.14
923,RMK,2.7.1.5
924,RMPA,4.1.2.19
925,RNDR1,1.17.4.1
926,RNDR2,1.17.4.1
927,RNDR3,1.17.4.1
928,RNDR4,1.17.4.1
929,RPE,5.1.3.1
930,RPI,5.3.1.6
931,RZ5PP,3.1.3.73
932,S7PI,5.3.1.28
933,SADH,3.5.3.23
934,SADT2,2.7.7.4
935,SARCOX,1.5.3.1
936,SBTPD,1.1.1.140
937,SDPDS,3.5.1.18
938,SDPTA,2.6.1.17
939,SELCYSS,2.9.1.1
940,SELNPS,2.7.9.3
941,SEPHCHCS,2.2.1.9
942,SERAT,2.3.1.30
943,SERD_D,4.3.1.18
944,SERD_L,4.3.1.19
945,SERTRS,6.1.1.11
946,SERTRS2,6.1.1.11
947,SGDS,3.5.1.96
948,SGSAD,1.2.1.71
949,SHCHCS3,4.2.99.20
950,SHCHD2,1.3.1.76
951,SHCHF,4.99.1.4
952,SHK3Dr,1.1.1.282
953,SHKK,2.7.1.71
954,SHSL1,2.5.1.48
955,SOTA,2.6.1.81
956,SPMDAT1,2.3.1.57
957,SPMDAT2,2.6.1.29
958,SPMDabcpp,3.6.3.31
959,SPMS,2.5.1.16
960,SPODM,1.15.1.1
961,SPODMpp,1.15.1.1
962,SSALx,1.2.1.24
963,SSALy,1.2.1.79
964,SUCBZL,6.2.1.26
965,SUCBZS,4.2.1.113
966,SUCOAS,6.2.1.5
967,SULRi,1.8.1.2
968,SULabcpp,3.6.3.25
969,TAGURr,1.1.1.58
970,TALA,2.2.1.2
971,TARTD,4.2.1.32
972,TAUDO,1.14.11.17
973,TAURabcpp,3.6.3.36
974,TDP,3.6.1.15
975,TDPAGTA,2.6.1.59
976,TDPDRE,5.1.3.13
977,TDPDRR,1.1.1.133
978,TDPGDH,4.2.1.46
979,TDSK,2.7.1.130
980,TGBPA,4.1.2.40
981,THD2pp,1.6.1.1
982,THDPS,2.3.1.117
983,THFAT,2.1.2.10
984,THIORDXi,1.11.1.16
985,TYRTRS,6.1.1.1
986,THRA2i,4.1.2.5
987,THRAi,4.1.2.5
988,THRD,1.1.1.103
989,THRD_L,4.3.1.19
990,THRS,4.2.3.1
991,THRTRS,6.1.1.3
992,TKT1,2.2.1.1
993,TKT2,2.2.1.1
994,TMDK1,2.7.1.21
995,TMDPP,2.4.2.4
996,TMDS,2.1.1.45
997,TMK,2.7.1.89
998,TMPK,2.7.4.16
999,TMPPP,2.5.1.3
1000,TPI,5.3.1.1
1001,TPRDCOAS,2.4.2.52
1002,TRDR,1.8.1.9
1003,TRE6PH,3.2.1.93
1004,TRE6PP,3.1.3.12
1005,TRE6PS,2.4.1.15
1006,TREH,3.2.1.28
1007,TREHpp,3.2.1.28
1008,TREptspp,2.7.1.69
1009,TRPAS2,4.1.99.1
1010,TRPS1,4.2.1.20
1011,TRPS2,4.2.1.20
1012,TRPS3,4.2.1.20
1013,TRPTRS,6.1.1.2
1014,TRSARr,1.1.1.60
1015,TSULabcpp,3.6.3.25
1016,TUNGSabcpp,3.6.3.55
1017,TYRL,4.1.99.19
1018,TYROXDApp,1.4.99.4
1019,ThDPAT,2.7.7
1020,U23GAAT,2.3.1.191
1021,UAAGDS,6.3.2.13
1022,UACMAMO,1.1.1.336
1023,UAG2E,5.1.3.14
1024,UAGAAT,2.3.1.129
1025,UAGCVT,2.5.1.7
1026,UAGDP,2.7.7.23
1027,UAGPT3,2.4.1.227
1028,UAMAGS,6.3.2.9
1029,UAMAS,6.3.2.8
1030,UAPGR,1.3.1.98
1031,UDCPDPS,2.5.1
1032,UDPG4E,5.1.3.2
1033,UDPGALM,5.4.99.9
1034,UDPGALPpp,3.6.1.45
1035,UDPGD,1.1.1.22
1036,UDPGPpp,3.6.1.9
1037,UGLT,2.7.7.12
1038,UGLYCH,3.5.3.19
1039,UGMDDS,6.3.2.10
1040,UHGADA,3.5.1.108
1041,ULA4NFT,2.1.2.13
1042,UMPK,2.7.4.4
1043,UPP3MT,2.1.1.107
1044,UPP3S,4.2.1.75
1045,UPPDC1,4.1.1.37
1046,UPPRT,2.4.2.9
1047,URACPAH,3.5.1.110
1048,URDGLYCD,1.1.1.350
1049,URIC,1.7.3.3
1050,URIH,3.2.2.3
1051,URIK2,2.7.1.48
1052,VALTA,2.6.1.6
1053,VALTRS,6.1.1.9
1054,VPAMTr,2.6.1.66
1055,X5PL3E,5.1.3.22
1056,XAND,1.17.1.4
1057,XPPT,2.4.2.8
1058,XTSNH,3.2.2.1
1059,XYLI1,5.3.1.5
1060,XYLI2,5.3.1.5
1061,XYLK,2.7.1.17
1062,XYLK2,2.7.1.53
1063,ZN2abcpp,3.6.3.5
1064,ZNabcpp,3.6.3.5
1065,2DGLCNRy,1.1.1.215
1066,AOXSr,2.3.1.47
1067,BTS4,2.8.1.6
1068,HACD1i,1.1.1.35
1069,HACD2i,1.1.1.35
1070,HACD3i,1.1.1.35
1071,HACD4i,1.1.1.35
1072,HACD5i,1.1.1.35
1073,HACD6i,1.1.1.35
1074,HACD7i,1.1.1.35
1075,KAT1,2.3.1.9
1076,KAT2,2.3.1.9
1077,KAT3,2.3.1.9
1078,KAT4,2.3.1.9
1079,KAT5,2.3.1.9
1080,KAT6,2.3.1.9
1081,KAT7,2.3.1.9
1082,MME,5.1.99.1
1083,MMM2,5.4.99.2
1084,MTRI,5.3.1.23
1085,MTRK,2.7.1.100
1086,NPHS,4.1.3.36
1087,OXGDC2,4.1.1.71
1088,URIDK2r,2.7.4.9
1089,2DOXG6PP,3.1.3.68
1090,2HBO,1.1.1.27
1091,3DH5HPBMTm,2.1.1.114
1092,3DSPHR,1.1.1.102
1093,3HAO,1.13.11.6
1094,3HPH5MBDCm,4.1.1
1095,3MOBDC,4.1.1.72
1096,3MOPDC,4.1.1.72
1097,4HBZFm,3.1.2.23
1098,4HGLSDm,1.2.1.88
1099,4MOPDC,4.1.1.1
1100,AABTN,3.5.1.63
1101,AASAD1,1.2.1.z
1102,AASAD2,1.2.1.31
1103,AATA,2.6.1.39
1104,ABUTDm,1.2.1.3
1105,ACACT1m,2.3.1.9
1106,ACACT4p,2.3.1.9
1107,ACACT5p,2.3.1.9
1108,ACACT6p,2.3.1.9
1109,ACACT7p,2.3.1.9
1110,ACCOACrm,6.4.1.2
1111,ACGAM6PS,2.3.1.4
1112,ACGAMPM,5.4.2.3
1113,ACGKm,2.7.2.8
1114,ACGSm,2.3.1.1
1115,ACHBSm,2.2.1.6
1116,ACLSm,2.2.1.6
1117,ACOAHim,3.1.2.1
1118,ACOATAm,2.3.1.86
1119,ACONT,4.2.1.3
1120,ACONTm,4.2.1.3
1121,ACOTAim,2.6.1.11
1122,ACP1e,3.1.3.2
1123,ACPSm,3.6.1.-
1124,ACSm,6.2.1.1
1125,ACSp,6.2.1.1
1126,ADK1m,2.7.4.3
1127,ADK3m,2.7.4.4
1128,AGPRim,1.2.1.38
1129,AGTi,2.6.1.44
1130,AHCi,3.3.1.1
1131,AHSERL,2.5.1.49
1132,AHSERL2,2.5.1.49
1133,AIRCr,4.1.1.21
1134,AKGDam,1.2.4.2
1135,AKGDbm,2.3.1.61
1136,AKP1,3.1.3.1
1137,ALASm,2.3.1.37
1138,ALATA_Lm,2.6.1.2
1139,ALCD19y,1.1.1.72
1140,ALCD22xi,1.1.1.1
1141,ALCD22xim,1.1.1.1
1142,ALCD23xi,1.1.1.1
1143,ALCD23xim,1.1.1.1
1144,ALCD23yi,1.1.1
1145,ALCD24xi,1.1.1.265
1146,ALCD24xim,1.1.1.265
1147,ALCD24yi,1.1.1.265
1148,ALCD25xi,1.1.1.90
1149,ALCD25xim,1.1.1.90
1150,ALCD25yi,1.1.1
1151,ALCD26xi,1.1.1.190
1152,ALCD26xim,1.1.1.190
1153,ALCD2ir,1.1.1.71
1154,ALCD2irm,1.1.1.71
1155,ALDD20xm,1.2.1.3
1156,ALDD20y,1.2.1.5
1157,ALDD20ym,1.2.1.5
1158,ALDD22x,1.2.1.5
1159,ALDD2xm,1.2.1.5
1160,ALDD2ym,1.2.1.5
1161,ALLTAHr,3.5.3.4
1162,ALPHNH,3.5.1.54
1163,AMID,3.5.1.4
1164,AMID2,3.5.1.4
1165,AMID3,3.5.1.4
1166,AMPDA,3.5.4.6
1167,APRTO2,1.4.3.4
1168,ARABR,1.1.1.21
1169,ARGN,3.5.3.1
1170,ARGTRSm,6.1.1.19
1171,ARMT,2.1.1.-
1172,ASADi,1.2.1.11
1173,ASNNe,3.5.1.38
1174,ASNTRSm,6.1.1.22
1175,ASPOcm,1.4.3.16
1176,ASPTAm,2.6.1.1
1177,ASPTAp,2.6.1.1
1178,ASPTRSm,6.1.1.23
1179,ATPATF1,2.7.7.53
1180,ATPATF3,2.7.7.53
1181,ATPH1,3.6.1.5
1182,ATPS,3.6.4.9
1183,ATPS3g,3.6.3.14
1184,ATPS3m,3.6.3.14
1185,ATPS3v,3.6.3.14
1186,BACCL,6.3.4.9
1187,BTDD_RR,1.1.1.4
1188,BTSr,2.8.1.6
1189,C3STDH2,5.3.3.1
1190,C3STKR1,1.1.1.270
1191,CATp,1.11.1.6
1192,CHLPCTD,2.7.7.15
1193,CHOLK,2.7.1.32
1194,COAHLp,3.6.1.-
1195,COUCOAFm,6.2.1.12
1196,CSNATm,2.3.1.7
1197,CSNATp,2.3.1.7
1198,CSNATr,2.3.1.7
1199,CSm,2.3.3.3
1200,CSp,2.3.3.3
1201,CTPS1,6.3.4.2
1202,CYSTS,4.2.1.22
1203,DCMPDA,3.5.4.12
1204,DDPAm,2.5.1.54
1205,DESAT14,1.14.19.1
1206,DESAT16,1.14.19.1
1207,DESAT18,1.14.19.1
1208,DHAD1m,4.2.1.9
1209,DHAD2m,4.2.1.9
1210,DHAK,2.7.1.29
1211,DHFRim,1.5.1.3
1212,DHNPTtm,5.1.99.c
1213,DHORD4i,1.3.3.1
1214,DHORDi,1.3.99.11
1215,DIAT,2.3.1.57
1216,DIPS,2.1.1.98
1217,DOLK,2.7.1.108
1218,DPCOAKm,2.7.1.24
1219,DPMVD,4.1.1.33
1220,DPRm,1.1.1.169
1221,DRBK,2.7.1.15
1222,ECOAH11p,4.2.1.17
1223,ECOAH4p,4.2.1.74
1224,ECOAH5p,4.2.1.74
1225,ECOAH6p,4.2.1.74
1226,ECOAH7p,4.2.1.74
1227,ECOAH8p,4.2.1.134
1228,EHGLAT,2.6.1.23
1229,EHGLATm,2.6.1.23
1230,EHGLATp,2.6.1.23
1231,EPMGH,3.2.1.22
1232,ETHAK,2.7.1.82
1233,EX_oaa_e,5.3.2.2
1234,FA180ACPH,3.1.2.14
1235,FA181ACPH,3.1.2.14
1236,FACOAL100p,6.2.1.3
1237,FACOAL120p,6.2.1.3
1238,FACOAL141,6.2.1.3
1239,FACOAL141p,6.2.1.3
1240,FACOAL160,6.2.1.3
1241,FACOAL160p,6.2.1.3
1242,NFORGLUAH,3.5.1.68
1243,FACOAL180,6.2.1.3
1244,FACOAL80p,6.2.1.3
1245,FAS100,2.3.1.85
1246,FAS100COA,2.3.1.86
1247,FAS120,2.3.1.85
1248,FAS120COA,2.3.1.86
1249,FAS140,2.3.1.85
1250,FAS140COA,2.3.1.86
1251,FAS160,2.3.1.85
1252,FAS160COA,2.3.1.86
1253,FAS180,2.3.1.85
1254,FAS180COA,2.3.1.86
1255,FAS80COA_L,2.3.1.86
1256,FAS80_L,2.3.1.85
1257,FBA2,4.1.2.13
1258,FCLTm,4.99.1.1
1259,FDH,1.2.1.2
1260,FDNG,1.2.2.1
1261,FKYNH,3.5.1.9
1262,FMETTRSm,2.1.2.9
1263,FMNATm,2.7.7.2
1264,FRDcm,1.3.5.1
1265,FRDm,1.3.5.1
1266,FRTT,2.5.1.29
1267,FTHFCL,6.3.3.2
1268,FTHFCLm,6.3.3.2
1269,FTHFLmi,6.3.4.3
1270,FUMAC,3.7.1.2
1271,FUMm,4.2.1.2
1272,G12MT1g,2.4.1.131
1273,G12MT2g,2.4.1.131
1274,G13MTg,2.4.1.132
1275,G3PD1ir,1.1.1.94
1276,G3PD1irm,1.1.1.94
1277,G3PDm,1.1.99.5
1278,G5SD2,1.2.1.41
1279,G6PDH2er,1.1.1.49
1280,G6PI,5.3.1.9
1281,G6PI3,5.3.1.9
1282,GALIGH,3.2.1.22
1283,GALT,2.7.7.64
1284,GCC2am,1.4.4.2
1285,GCC2bim,2.1.2.10
1286,GCC2cm,1.8.1.4
1287,GCCam,1.4.4.2
1288,GCCbim,2.1.2.10
1289,GCCcm,1.8.1.4
1290,GGLGH,3.2.1.22
1291,GGTT,2.5.1.81
1292,GHMT2rm,2.1.2.1
1293,GK2,2.7.4.8
1294,GLPT,2.3.1.97
1295,GLUDxi,1.4.1.4
1296,GLUDyi,1.4.1.4
1297,GLUSx,1.4.1.14
1298,GLUTRSm,6.1.1.24
1299,GLYATi,2.3.1.37
1300,GLYCDy,1.1.1.156
1301,GLYCLm,2.1.2.10
1302,GNNUC,3.2.2.8
1303,GTHOm,1.8.1.7
1304,GTHPm,1.11.1.9
1305,GTPH1,3.6.1.5
1306,HACD10p,1.1.1.35
1307,HACD4p,1.1.1.35
1308,HACD5p,1.1.1.35
1309,HACD6p,1.1.1.35
1310,HACD7p,1.1.1.35
1311,HBZOPT6m,2.5.1.39
1312,HCO3Em,4.2.1.1
1313,HCO3En,4.2.1.1
1314,HEMEOSm,2.5.1.-
1315,HGNTOR,1.13.11.5
1316,HICITDm,1.1.1.87
1317,HISTRSm,6.1.1.21
1318,HKYNH,3.7.1.3
1319,HMGCOAR,1.1.1.34
1320,HMGCOAS,2.3.3.10
1321,HMGCOASm,2.3.3.10
1322,HPROa,1.5.1.2
1323,HPROb,1.5.1.2
1324,HPROxm,1.5.1.2
1325,HPROym,1.5.1.2
1326,HSDxi,1.1.1.3
1327,HSDyi,1.1.1.3
1328,HSERTA,2.3.1.31
1329,ICDHxm,1.1.1.41
1330,ICDHym,1.1.1.42
1331,ICDHyp,1.1.1.42
1332,ILETAm,2.6.1.42
1333,ILETRSm,6.1.1.5
1334,INDPYRD,4.1.1.74
1335,IPPSm,2.3.3.13
1336,ITCOALm,6.2.1.5
1337,KARA1im,1.1.1.86
1338,KARA2im,1.1.1.86
1339,KYN,3.7.1.3
1340,KYN3OX,1.14.13.9
1341,LEUTA,2.6.1.67
1342,LEUTAm,2.6.1.67
1343,LEUTRSm,6.1.1.4
1344,LYSTRSm,6.1.1.6
1345,MACACI,5.2.1.2
1346,MALSp,2.3.3.9
1347,MAN1PT,2.7.7.13
1348,MCITL2m,4.1.3.30
1349,MCITSm,2.3.3.5
1350,MCOATAm,2.3.1.86
1351,MDHm,1.1.1.37
1352,MDHp,1.1.1.37
1353,ME1m,1.1.1.39
1354,ME2m,1.1.1.40
1355,MELTGH,3.2.1.22
1356,METB1,2.5.1.48
1357,METTRSm,6.1.1.10
1358,MEVK1,2.7.1.36
1359,MEVK2,2.7.1.36
1360,MEVK3,2.7.1.36
1361,MEVK4,2.7.1.36
1362,MHPGLUT,2.1.1.14
1363,MI1PS,5.5.1.4
1364,MTAP,2.4.2.28
1365,MTHFCm,3.5.4.9
1366,MTHFD2i,1.5.1.15
1367,MTHFDm,1.5.1.5
1368,MTHFR3,1.5.1.20
1369,NABTNO,1.2.1.3
1370,NADDPp,3.6.1.9
1371,NADH2_u6cm,1.6.99.3
1372,NADH2_u6m,1.6.99.3
1373,NADKm,2.7.1.23
1374,NADNm,3.5.1.-
1375,NADPPPSm,3.1.3.-
1376,NADS1n,6.3.1.5
1377,NAPRT,2.4.2.11
1378,NAPRTm,2.4.2.11
1379,NDP1,3.6.1.5
1380,NDP3,3.6.1.6
1381,NDP3g,3.6.1.6
1382,NDP7,3.6.1.6
1383,NDPK9,2.7.4.6
1384,NMNATm,2.7.7.18
1385,NNAMrm,3.5.1.19
