gene_id,gene_name,pyruvate,glucose,glucose + glutamate,amino acids,glucose + amino acids
BSU14480,abh,427.27709978,250.865998,561.6899697,865.76570494,3234.97124795
BSU00370,abrB,3441.33659449,2859.16794651,2038.53579261,10811.040867,18182.8075014
BSU29200,accA,1552.37297579,1031.20958264,976.63058099,1470.23104373,3966.42723111
BSU24340,accC,2306.06697514,1798.4892907,2409.29640458,6207.30943151,10456.2445911
BSU29210,accD,1208.4302621,1118.97233122,684.64455841,1270.61376629,2705.4354484
BSU29470,ackA,1999.99465027,1612.91920737,6197.07375721,11039.5626927,54939.8171695
BSU15920,acpA,10943.2582849,11886.4935951,20204.7646192,35975.3968482,73072.2634569
BSU04620,acpS,298.65236475,,,,
BSU29680,acsA,2949.67259748,466.52000615,117.00428021,3356.98846785,
BSU29700,acuB,419.10030482,,,481.31534934,434.18557516
BSU14520,adeC,794.3130388,321.63824927,372.65839307,444.17879376,2626.9468322
BSU01370,adk,2615.3041307,2183.12712477,3619.67710803,11614.3445427,19951.4769325
BSU40090,ahpC,44438.7524833,24848.9313036,20051.0675024,44043.4241392,77161.3066604
BSU40100,ahpF,1450.59070602,1331.92130525,2098.86887881,3809.36312138,8973.69917769
BSU31410,alaR,836.94420751,350.56424454,403.28642454,907.62231992,1613.77520544
BSU27410,alaS,1258.04625819,857.34608698,1044.65739885,2603.60856766,4807.82853647
BSU31930,ald,5437.98773053,844.64619839,1101.20851807,74422.8871242,55493.8189031
BSU38830,aldY,443.1293265,,,,
BSU03010,amhX,2438.54842589,512.7692927,109.34834866,197.79486086,
BSU14450,ampS,1260.69636758,263.95814187,132.34259574,681.00154135,1401.3410125
BSU11390,appB,666.14401596,123.75361901,,,
BSU11400,appC,358.24211258,,,,
BSU27610,apt,711.73516081,871.76277903,942.92564129,2750.40001277,7609.18129387
BSU11210,argB,425.81623292,142.48348309,312.87145494,680.38226677,
BSU11220,argD,1518.47671467,1090.34764293,1218.74673855,1631.79242231,
BSU11250,argF,2198.54664577,1083.98866988,1810.66417124,1643.8049687,2213.59317718
BSU29450,argG,2863.5445626,2610.65439765,4511.12305324,5064.80308152,245.6278354
BSU29440,argH,890.24450586,1232.08526796,1883.3411592,1402.62039672,
BSU37330,argS,3259.26126533,1205.69835286,821.13916959,3288.63767808,5298.56098552
BSU29750,aroA,10875.1635377,20629.7582685,36974.3246524,13334.3786163,27461.095596
BSU22700,aroB,1902.74658222,1686.62181029,2165.08063212,948.57072789,1816.5699548
BSU23080,aroC,280.07213357,,,,490.65377317
BSU25660,aroD,372.14826833,257.15125662,204.45502484,301.511883,632.9452265
BSU22600,aroE,1270.74482111,3513.58095932,4137.20376629,3618.73774713,8814.61928752
BSU22710,aroF,2095.4462316,4162.4291195,4400.35689103,2080.02646497,6168.40917604
BSU22690,aroH,1344.02279564,1171.42067737,1565.7980684,1022.27096787,1403.30402703
BSU03150,aroK,268.04915594,185.24364937,321.26188274,208.89939654,441.99178205
BSU23980,artP,4303.03424334,1369.27287562,1368.47309665,2118.72647661,273.43184826
BSU23970,artQ,554.66160685,153.10289674,59.02806011,,
BSU23960,artR,662.64794574,292.67877365,339.88028546,472.53761458,
BSU16750,asd,8467.02134386,5223.61488354,5818.84354837,8453.07313806,13662.8534442
BSU22360,asnS,1234.56731886,1446.80420376,1971.5477071,5589.8883979,13587.0469236
BSU22370,aspB,4824.29383613,10915.769416,9860.49582153,13714.6744829,20200.6414794
BSU27550,aspS,2547.3689513,1583.98536288,2296.58781225,6800.96878648,10685.5147146
BSU36830,atpA,11973.2127938,6807.00014727,7580.57318906,41984.0495395,49402.2528313
BSU36800,atpC,1241.80457149,1923.67416706,1809.32165784,4204.92607246,6882.04989836
BSU36810,atpD,20369.1501114,10748.0514994,8181.96319386,50615.7935965,49598.9018653
BSU36850,atpF,4955.16327988,644.38301998,872.08113199,8197.60253601,11355.4730921
BSU36820,atpG,570.14926052,445.85739427,331.56227821,2914.72870353,3793.76767042
BSU36840,atpH,2406.4236445,932.25512494,955.68285812,4989.64377929,6309.38190372
BSU19230,azoR1,1781.00618582,1231.97252222,1153.0559682,1911.09703319,4632.54343585
BSU33540,azoR2,7524.76320886,1516.09805081,557.95536333,1290.07685413,724.34413922
BSU37730,bacB,123.97499748,218.17321282,355.17237728,,
BSU24080,bcd,568.41828491,565.09102574,307.11832798,3501.98900161,3827.55002023
BSU33480,bdbD,262.60412109,126.82591328,469.18351615,655.55081593,1894.84039772
BSU06240,bdhA,3135.31795703,3844.73266433,6623.27797814,7815.92272813,17020.3710061
BSU30230,bioA,3273.23189357,3192.04792148,2021.96492564,3864.29317699,7321.60099987
BSU30200,bioB,2228.11202892,1659.96464409,2024.70922999,4581.76920658,6484.85282484
BSU24030,bkdB,1047.28531293,519.14509474,535.57339922,4877.86977323,4742.81376284
BSU21900,bsaA,665.88404396,317.57886805,161.68593215,409.33453088,
BSU35270,cccB,625.08919364,162.01554661,169.10066915,768.39768074,850.84007858
BSU29740,ccpA,954.96189319,456.7003889,462.67333422,1366.17676705,2417.31215041
BSU25250,ccpN,484.62273987,111.16643112,104.7521986,220.2128646,300.36418143
BSU25300,cdd,1451.79610639,375.43716931,182.06881679,,411.26630952
BSU19780,cgeA,4257.87999475,,,,
BSU16430,cheA,1164.21914559,705.19953337,607.6224508,1579.87391444,1423.19194034
BSU14010,cheV,1624.99221196,1116.96902248,1021.28445877,1764.41023665,1690.14541171
BSU16440,cheW,1683.32092318,839.56519207,644.462836,1423.28665456,1622.9259796
BSU18000,citB,20289.6651067,5048.83263792,1294.02107426,24371.2258766,16421.7799181
BSU33040,citG,11815.9033915,2427.10182665,2007.42241979,9879.86521659,4674.71889593
BSU29140,citZ,22995.2177733,8373.3206424,2009.42390922,20577.9353389,2226.90946132
BSU00860,clpC,2478.74639771,1157.47087617,1020.83472565,2623.83776051,3437.9610206
BSU13700,clpE,563.62905593,165.26447432,130.48948076,420.30399909,305.76086697
BSU34540,clpP,7091.44478266,4011.35026664,4524.61689163,11117.6087058,18260.1721668
BSU16150,clpQ,665.89019571,,,,
BSU28220,clpX,2616.03156719,1689.88867012,2403.64744886,6358.18389618,11330.0310659
BSU16160,clpY,2586.2561348,854.17207795,615.01839058,1936.12161561,2960.18191131
BSU22890,cmk,1012.91306308,945.05012988,798.71438268,2023.17698403,4325.48984806
BSU16170,codY,2523.59106286,955.20325175,1586.89844203,3409.00000479,9218.91754969
BSU31680,comA,1060.47318094,320.47722006,256.13263813,623.3857793,598.944305
BSU25580,comEB,924.28004023,288.25708292,,,
BSU27660,comN,549.57487922,139.94696357,,,
BSU33510,copZ,2558.65828955,363.43093292,379.37402058,1217.76280448,2346.13884786
BSU17030,cotE,248.58836949,,,510.62754797,
BSU27830,coxA,287.82316981,,,,
BSU32690,csd,1713.95045407,1120.93728015,1300.79047365,1679.53640645,2871.67531448
BSU04580,cshA,387.29685823,1431.24169385,1917.32399362,1449.70269076,9733.80546816
BSU00520,ctc,7850.5979411,711.52780216,649.45394742,5776.10965091,2041.24895691
BSU19590,ctpA,234.17050069,87.67790834,79.00976506,220.04793694,430.99007518
BSU34160,cycB,128.50189987,,,427.26446731,
BSU27520,cymR,1700.30688044,508.21353699,613.9740487,1038.91094968,3409.34220541
BSU15600,cysC,4195.39942443,1080.46438915,1899.57593852,1029.63931805,1568.94038071
BSU15570,cysH,1695.25223105,520.45046161,908.16833256,,1180.94473313
BSU33430,cysI,2928.00317272,1771.57258483,1925.12960172,1406.99040545,742.2743673
BSU33440,cysJ,4101.59737272,2899.20552309,2803.63023352,1652.08010932,768.27987947
BSU00730,cysK,7092.9522982,2938.73181758,3030.36198118,10887.3404338,8919.01849743
BSU00940,cysS,856.21332953,245.76958728,493.35076246,1068.80039275,2163.30783507
BSU00100,dacA,1135.65662244,218.735512,355.35749013,2345.97099191,4433.62169092
BSU16770,dapA,320.43317134,536.53569755,307.62707626,1926.36173459,1598.30038331
BSU22490,dapB,176.97306877,306.48113147,361.18629445,864.69059542,1810.88723381
BSU09670,dat,3558.33183068,1262.07202946,512.37112237,793.97756822,524.679433
BSU04560,ddl,685.70130257,1313.09074521,547.64571459,1614.34991829,2943.73043423
BSU35500,degS,1127.21481981,68.99987495,42.850755,,329.91997709
BSU35490,degU,1597.72107382,1626.99579664,1007.62343022,2453.60883303,5013.76614056
BSU19630,deoD,878.38159994,457.32273392,681.28131718,1532.70042485,4119.89624999
BSU19200,desR,351.83072634,,,,
BSU19310,dhaS,4898.48504736,780.33443229,68.58269128,2339.10673923,
BSU32000,dhbA,1143.32702526,4437.95015455,2503.80490101,1408.15460325,2028.0755964
BSU31970,dhbB,6741.22694902,13864.8819522,8927.52536705,4985.51354209,7243.83759276
BSU31990,dhbC,602.52817574,9036.97019192,6857.10278837,3893.24384374,4780.34311704
BSU31980,dhbE,1395.31245548,4898.65003806,3708.95248278,1655.61732177,2498.90247714
BSU15420,divIVA,3860.30393158,1595.40554347,1474.29518502,3552.60543038,3435.47817622
BSU38520,dltC,2033.65044108,1394.32029919,966.8925083,3427.3309644,10054.3611089
BSU00010,dnaA,278.46152337,234.2547072,425.48573381,1252.08835413,1106.68022453
BSU25470,dnaK,12433.585697,5860.10438839,7280.46799893,22948.6539362,45724.8833452
BSU00020,dnaN,346.85729508,375.85691024,662.81477435,2264.81365036,4704.13850594
BSU12960,dppE,4015.72703671,246.80830366,,,
BSU30650,dps,1433.58560618,1253.71638814,1404.14357386,1655.11293264,316.08567533
BSU39420,dra,675.61562529,726.93456605,339.24548711,900.03380811,2164.34800769
BSU10050,ecsB,138.56781733,,,,612.05179511
BSU33900,eno,6757.25853046,10563.1676643,11497.8388597,9957.32194795,65766.1728306
BSU28520,etfA,563.29463378,89.72996621,,644.97347034,
BSU28530,etfB,1270.54690939,212.43478531,47.78148215,890.42672038,
BSU29610,ezrA,752.31446882,124.61686559,111.55804504,494.91106942,896.6057711
BSU15900,fabD,2204.50789889,1184.91521607,1333.76701161,8682.82968959,15053.2050061
BSU11340,fabF,2610.34083731,1802.02141908,1722.99092497,1843.55006036,5262.77098155
BSU15910,fabG,1724.93704918,2358.28773673,2115.89469164,3186.48651159,8994.80696999
BSU11330,fabHA,768.57844618,896.52166687,1036.64552304,1077.81174517,4313.43204496
BSU11720,fabI,1049.68219757,1139.85017248,1611.86939558,2113.59359927,7704.35956213
BSU08650,fabL,575.63703652,206.06885749,409.09821435,750.46873344,1830.53428865
BSU28540,fadB,865.29100695,165.41268887,83.54736706,665.48518592,325.63102388
BSU32820,fadE,459.91663886,,45.13968993,293.88252496,
BSU37120,fbaA,15257.2635551,15624.8475818,17513.475985,45662.8280105,68752.771725
BSU15980,ffh,777.62793809,353.3983011,447.03354724,750.60691436,1495.77335308
BSU33320,fhuD,1493.21024524,994.53353574,763.63404494,1912.56565143,2647.0933238
BSU16290,flgE,3238.48187435,1779.60932552,1228.99538438,3034.90012964,3468.16034504
BSU35410,flgK,330.77743302,192.20976545,194.14465015,590.52914423,171.39356845
BSU35400,flgL,396.92310307,104.48786093,101.32851129,334.91240277,1050.44457833
BSU35340,fliD,362.2756899,214.1806513,245.3510966,387.34177336,425.27395372
BSU16210,fliF,468.36344773,67.94939894,68.29293257,594.53679659,661.12970954
BSU16220,fliG,1183.68737517,249.70195735,176.68081768,,375.3730854
BSU35330,fliS,359.59060054,168.86372792,135.83943002,227.39585289,426.87038265
BSU16320,fliY,2257.30864371,1488.14029343,802.70164071,1884.79365253,2790.70189233
BSU15730,fmt,889.45133118,522.43599488,456.06599371,1125.99854121,2545.19272116
BSU22870,fni,306.53580541,,37.9234945,,
BSU24310,folD,605.22166766,1204.99256379,3333.34138015,6773.6807935,15316.6276908
BSU16520,frr,5511.49675079,5239.43190043,6697.3690498,16266.8520339,42597.2973504
BSU06170,fruC,405.11332982,285.6761281,494.47466421,961.15992731,651.57752817
BSU15280,ftsA,598.21832984,205.49161115,165.61278083,422.04700457,811.1363458
BSU35260,ftsE,582.81469756,,257.72422877,760.89208038,1073.07669537
BSU00690,ftsH,1849.59394625,1025.97440981,1330.72261192,5042.04855568,7400.18877917
BSU35250,ftsX,783.08822402,,175.30322358,639.61408646,1370.76695216
BSU15290,ftsZ,4154.65354497,2346.86618413,1916.70126084,4358.70528341,6942.79624271
BSU01120,fusA,13319.7314505,11452.1165412,18139.6723112,49524.4804611,125148.496233
BSU03910,gabD,1304.69246428,385.09060376,127.87251192,,495.98208822
BSU03890,gabR,171.66764401,,,,
BSU38860,galE,1527.14872924,2075.59120674,1638.39984261,3361.08888938,5665.54401107
BSU38190,galT,463.34816045,111.12613151,68.07201244,512.29532088,
BSU33940,gapA,4462.30376841,19204.6359566,35470.7868556,8783.30816253,170526.747886
BSU29020,gapB,4000.91885993,,,18703.6009826,
BSU06680,gatA,3021.4980309,2779.1776177,2624.70595365,6449.7086205,12025.0860292
BSU06690,gatB,4681.35176223,4822.26392527,3144.75923381,6855.99604071,11298.9752612
BSU06670,gatC,971.45243153,682.44892621,872.70595954,1690.82338639,3756.24821793
BSU00500,gcaD,999.48471877,397.13611374,568.18608433,1921.88414462,3690.89119287
BSU32800,gcvH,3219.05268064,460.68196382,302.44699757,2647.87773229,2411.98923151
BSU24560,gcvPA,1693.96291615,825.61926154,613.96025852,2024.13662636,448.74731885
BSU24550,gcvPB,1709.6387821,1160.60645445,1099.28698903,3235.17421114,880.73130192
BSU15090,gerR,351.49486483,78.99871292,,,
BSU01770,glmM,788.00192227,1352.82767979,1028.88996911,2093.41709246,5447.22504968
BSU01780,glmS,567.35821752,340.46367203,928.26514058,2740.81470281,6046.14458398
BSU17460,glnA,16815.6785908,8140.12412102,6942.33097239,11334.3451442,25293.2376913
BSU09290,glpK,713.33375526,151.12327647,,6110.88074568,559.6801209
BSU37090,glpX,1133.92509105,552.91175992,468.1260086,1471.0145377,1662.01979992
BSU18450,gltA,2910.86691292,2409.00258199,1407.88823443,,1143.07102799
BSU18440,gltB,414.28325027,1128.09272547,830.52827587,,1029.63601375
BSU10220,gltT,1280.95947351,253.67076274,317.19920842,2406.65589501,2138.02372848
BSU00920,gltX,2307.32539423,1735.65726441,2401.66489758,5279.95770816,10294.3221897
BSU08190,glvR,119.6745587,183.45721472,,,
BSU36900,glyA,10335.0657782,13072.7974419,19797.3905046,33194.4847699,59840.8292267
BSU25270,glyQ,745.10006171,821.32473688,973.30209856,1704.33858729,4581.3951722
BSU25260,glyS,1719.39389544,693.14111805,1053.99412376,2795.37635306,5806.91368874
BSU15680,gmk,563.34128215,253.90455966,335.86535714,1208.27256018,2206.65094639
BSU23860,gndA,15775.0381511,10758.8841034,8824.57500315,15566.0956127,17081.1980002
BSU22180,gpsB,1702.66155473,1058.54082453,666.7614196,1204.52994051,663.06901246
BSU27320,greA,7101.22027905,4394.8753484,4304.63077663,11156.7127038,18719.6624785
BSU06030,groEL,19265.1592573,14566.5207034,10852.2216793,33441.425646,46124.636083
BSU06020,groES,7131.02305793,4302.85640881,3430.71904161,10234.9612654,18034.4974564
BSU25480,grpE,548.0195562,735.24263274,820.40840063,1765.15848607,4755.21989174
BSU08710,gsaB,834.06684826,531.09182889,530.62765067,1080.43491679,2610.06027115
BSU04400,gsiB,22091.7979529,493.20260092,704.15953587,2999.72221772,1331.17750723
BSU35670,gtaB,7889.70596064,3693.27124728,3263.50073264,8997.76952311,9521.24222666
BSU06360,guaA,1943.16209574,2612.43303934,3873.17788379,12453.6590272,36619.1690092
BSU00090,guaB,3568.89976191,3210.20075986,3958.61250395,20337.9261592,35984.4083827
BSU00070,gyrA,743.27130498,422.30960798,407.46253821,1184.01915339,3647.04873605
BSU00060,gyrB,302.7224141,146.04841409,183.93562736,416.43173425,1077.00361189
BSU35360,hag,112622.90948,150241.025146,145022.53527,280952.648474,230793.209317
BSU22790,hbs,18358.2114634,19917.3614896,20608.4953667,41521.0545105,65795.7979036
BSU10380,hemAT,2628.24984301,1094.81407597,1026.34700489,1802.5203349,2128.01488332
BSU28130,hemB,320.74561034,367.38834368,279.57971698,906.47232086,2522.82752844
BSU10130,hemH,292.27864152,82.90428214,270.02119035,1425.88001396,926.01847637
BSU28120,hemL,639.65233042,761.92160137,669.5563549,1928.10550235,4174.13509196
BSU10140,hemY,490.91771205,,77.28080992,201.81087728,1034.52580208
BSU22740,hepT,199.72702493,,74.01045094,,486.69494437
BSU34880,hisA,846.47594873,707.12899141,801.41963652,,
BSU22620,hisC,1160.20576943,2714.97171594,2779.72426314,2096.07556192,6278.39270318
BSU34910,hisD,432.64223095,486.81745109,657.75026404,,
BSU34870,hisF,394.17136874,601.25689143,801.65442593,,
BSU34920,hisG,373.97363824,492.13270309,807.0846568,,
BSU34890,hisH,710.84289537,572.89552585,641.64253581,,
BSU34860,hisI,1694.21815792,886.34977006,1071.4572423,,
BSU27560,hisS,1159.59679412,989.88104232,1669.05401483,2240.23780726,5581.69586418
BSU10030,hit,2808.96256977,1632.72902306,1821.58382451,4113.61980792,6097.28034265
BSU32260,hom,3620.00152292,2166.72912116,3177.73146828,1722.66073676,4503.02589985
BSU35000,hprK,1069.44282858,398.4281399,330.38938888,874.79998625,1342.43536163
BSU00680,hprT,1916.07095751,1239.8196808,1522.62567918,5378.59818719,10562.9128163
BSU39820,htpG,1572.76709946,1849.30790058,933.49801484,2904.03711247,2949.54242965
BSU12900,htrA,503.75956114,90.57217679,83.27402648,,
BSU33000,htrB,948.74113948,152.51481217,141.55318482,344.81480545,107.47484486
BSU29130,icd,40219.4174222,37099.771962,22634.4725111,77080.3128511,41236.0775827
BSU15430,ileS,3226.73463297,2829.15548843,2426.92035491,9344.85335047,12785.9880542
BSU21770,ilvA,1433.40619323,969.00736318,1528.47239817,1776.53578886,2339.85288045
BSU28310,ilvB,2181.67182299,1230.18025157,2713.15129684,,
BSU28290,ilvC,34202.192298,21254.4553933,19403.4606172,2878.2964968,4843.13049251
BSU21870,ilvD,6471.16855302,3104.06770319,3653.55721978,1545.48379617,1278.03768549
BSU28300,ilvH,995.41920802,603.20791301,851.12467287,,
BSU04820,immR,261.43102341,264.86889457,134.08049054,65.47850137,
BSU01390,infA,1643.70720217,2144.00308886,3480.64467662,4961.39216341,9447.31693731
BSU16630,infB,1590.98333019,1689.82867176,1955.30771628,4763.15948999,9974.44398476
BSU28870,infC,1691.5928979,3317.66244661,4330.45919595,9964.06533402,18250.6247954
BSU39760,iolA,910.70788596,130.54893023,76.00027506,396.85817095,260.21669042
BSU39740,iolC,349.98059233,,,,
BSU39780,iolS,2617.31917535,1541.49318073,1547.82293716,2382.69936454,2124.32657042
BSU32680,iscU,832.99117997,657.50383064,636.5710318,964.56863475,2614.77578517
BSU41030,jag,427.47149619,146.62497142,114.18198177,410.15634276,429.01408137
BSU08820,katA,956.49053803,1347.1486233,568.35535969,451.7420283,1729.71128211
BSU39050,katE,490.23304386,,,,
BSU17000,kbl,270.12204741,,,1998.18907247,
BSU22130,kduI,1310.26259717,923.03671696,217.66675771,885.3934324,292.57626829
BSU00420,ksgA,7488.19398147,,107.61037068,1700.85550217,623.70737566
BSU28280,leuA,3748.66750396,1515.21620247,3657.93844883,345.00628966,388.64124991
BSU28270,leuB,14589.2773677,6437.67999585,7160.82736837,941.60283493,1470.72514125
BSU28260,leuC,1930.33228575,750.87156211,1627.51826304,359.80344815,747.02450308
BSU28250,leuD,2206.81673036,1250.52009792,1994.08422023,,
BSU30320,leuS,2419.91309856,1458.15474317,2044.51030085,6254.29579097,8642.795469
BSU17850,lexA,1813.75045043,557.24810515,376.24828765,864.2870367,1444.25351449
BSU06620,ligA,426.65308817,166.63789946,156.09320141,477.79183886,1263.27252063
BSU32330,lipA,462.10299061,112.2777615,497.12828065,2060.64656394,3742.28130021
BSU34050,lutA,1155.47834185,289.4468928,321.21661444,2917.60506831,1609.74571404
BSU34040,lutB,753.72921971,246.25658734,479.14610849,4123.90836643,1809.32281012
BSU34030,lutC,3433.47387684,602.07654729,890.99424002,9310.11274348,4961.44129889
BSU34190,lutP,364.16167989,,,743.31723495,
BSU30670,luxS,5386.29616044,2174.21498107,1653.85688889,3894.06284753,4498.58158588
BSU23380,lysA,690.32017357,626.84379637,1376.06325417,2286.43339649,3630.40405045
BSU28470,lysC,2482.48053467,1458.68539492,4041.66041932,,478.23575985
BSU00820,lysS,2643.22430165,1971.69417564,2516.02076157,7154.63588968,15763.0610073
BSU35640,lytA,1956.51013341,,147.57325252,541.75543769,
BSU35650,lytR,385.78977436,187.81422904,257.44784387,,1498.32388513
BSU01380,map,584.21496044,144.51075757,281.16285686,803.53641418,1881.03810094
BSU36410,mbl,395.6732452,336.31314741,1085.94874828,2526.06489528,8251.56272226
BSU31240,mcpA,351.38161747,150.28008995,127.95973769,405.76188317,618.14957685
BSU31260,mcpB,1343.67589977,283.26308875,293.92161203,512.86800761,922.74684928
BSU13950,mcpC,2780.21679178,236.00691557,106.96023666,990.22263742,
BSU29120,mdh,28359.9020399,35291.0057274,26821.4754837,58271.1761588,41975.5217752
BSU30800,menB,1091.09338912,929.43014107,1483.72579756,2530.74805015,5758.36034898
BSU22750,menH,111.06709684,,,230.78030863,723.39051206
BSU21910,metA,405.36921524,311.73898145,242.79908257,357.25514272,824.77984349
BSU11880,metC,620.50839046,623.4289345,1091.73887748,441.7978925,676.70804398
BSU13180,metE,6743.99390883,10684.6656968,21579.1214203,1681.52815742,944.60305735
BSU11870,metI,2364.77827307,1079.47238176,2003.39051792,949.23990852,927.26961432
BSU30550,metK,2836.70376325,2378.70752238,3707.05499607,8066.24590867,16710.0063265
BSU32730,metQ,2866.63847416,1226.48353502,2925.45757686,3125.54802905,9338.75076539
BSU00380,metS,2458.53810251,1309.6188917,1177.35740859,4910.60391902,7658.96547275
BSU19560,mhqD,230.27327802,297.50899854,,,402.64259962
BSU05490,mhqO,233.39273009,,,,
BSU27990,minD,727.63697012,715.63275507,648.80836458,812.50525692,1864.05160975
BSU23550,mleA,224.46521177,99.13296563,128.66603206,857.8457035,1564.07486285
BSU24520,mntR,529.83503636,376.08817042,420.18311646,789.87966344,1370.84728083
BSU14300,moaE,193.64387921,,82.24244821,369.5304747,546.48154102
BSU14280,moeA,438.98398352,87.29901697,87.71034729,,505.8609072
BSU13690,motA,581.77662309,100.4514348,105.11554671,613.15802272,524.12353698
BSU28030,mreB,1403.65277966,1044.80879098,1310.15698039,2366.55299797,6842.75432992
BSU21690,msrA,1257.87838445,387.91413321,183.03106628,,878.11806679
BSU13550,mtnA,17786.9863066,12320.3708089,10199.3822447,15055.4293712,15260.8152228
BSU13620,mtnD,4426.00314508,4181.79440166,3747.20992927,1417.13292771,1818.35017105
BSU13560,mtnK,2943.38476654,5078.93704714,15521.3324409,16333.1211432,17426.3760225
BSU27270,mtnN,499.49743082,559.10237569,465.42035291,1496.48632322,3288.69416618
BSU13570,mtnU,257.7521673,333.21312187,462.12649632,739.47050347,374.54362166
BSU13590,mtnW,930.15840625,588.43111923,707.36525003,,
BSU13600,mtnX,841.02128392,340.0278683,468.95615318,,
BSU22780,mtrA,211.88970381,122.1591627,170.40226701,815.58210763,1061.93601006
BSU37100,murAB,455.52787367,558.12514475,467.43837656,1040.75829562,993.45589889
BSU15230,murB,382.10312744,1522.25803739,1714.09378753,1652.22498401,6289.32076583
BSU15200,murD,663.62444649,235.07313779,403.4885027,1679.27788199,3113.90228807
BSU15180,murE,505.97270675,297.40325785,481.11843966,1547.94444499,2879.99560072
BSU27850,nadA,900.67794427,1064.19171602,2228.64107954,6485.87201604,10391.6987974
BSU27860,nadC,1978.62053303,1503.89555519,1787.32272105,4421.17443039,7354.2152312
BSU03130,nadE,4414.00441302,684.00050128,1975.36845112,6179.19231185,10150.1160139
BSU12290,ndh,4665.75222923,3812.62990753,8172.8341288,17593.3835164,34690.2460645
BSU22730,ndk,7490.66016469,2721.41691941,1873.17520777,39074.6826262,3253.91231285
BSU25130,nfo,857.62170538,262.07635728,298.99855823,659.20605094,1279.74195072
BSU09690,nhaX,185.72809787,,63.99709968,,561.66262586
BSU03420,nin,1639.58538584,606.66950758,2191.22663636,226.66667036,65.5690678
BSU40990,noc,162.24826655,381.5907645,1352.72823566,7544.12270042,263.78077843
BSU17380,nrdE,646.70170867,267.6035795,296.86500444,982.66273125,2543.80558285
BSU17390,nrdF,1803.30418954,288.28621432,190.50426528,863.57647194,1902.17673747
BSU29250,nrnA,837.3149111,950.17365261,803.49361593,1111.07261599,2211.57877626
BSU23610,nudF,391.69947664,260.56422378,244.50893025,468.58086397,748.16071541
BSU16600,nusA,2505.03806678,1528.78619859,1289.41221761,6765.22687711,8431.54690476
BSU01010,nusG,1272.37858415,760.69095028,1058.89078597,1809.9772466,3690.97332732
BSU19370,odhA,13172.3515684,2759.50079831,3185.37767886,30660.0334404,4934.31472241
